gene_id,gene_type,gene_short_name
ENSMUSG00000051951.5,protein_coding,Xkr4
ENSMUSG00000103377.1,TEC,Gm37180
ENSMUSG00000104017.1,TEC,Gm37363
ENSMUSG00000103025.1,TEC,Gm37686
ENSMUSG00000089699.1,antisense,Gm1992
ENSMUSG00000103201.1,TEC,Gm37329
ENSMUSG00000103161.1,TEC,Gm38148
ENSMUSG00000102331.1,sense_intronic,Gm19938
ENSMUSG00000102343.1,lincRNA,Gm37381
ENSMUSG00000025900.12,protein_coding,Rp1
ENSMUSG00000025902.13,protein_coding,Sox17
ENSMUSG00000104238.1,processed_transcript,Gm37587
ENSMUSG00000104328.1,lincRNA,Gm37323
ENSMUSG00000098104.1,processed_pseudogene,Gm6085
ENSMUSG00000102175.1,processed_pseudogene,Gm6119
ENSMUSG00000033845.13,protein_coding,Mrpl15
ENSMUSG00000102275.1,TEC,Gm37144
ENSMUSG00000025903.14,protein_coding,Lypla1
ENSMUSG00000104217.1,protein_coding,Gm37988
ENSMUSG00000033813.15,protein_coding,Tcea1
ENSMUSG00000103280.1,TEC,Gm37277
ENSMUSG00000002459.17,protein_coding,Rgs20
ENSMUSG00000102653.1,TEC,Gm37079
ENSMUSG00000085623.1,antisense,Gm16041
ENSMUSG00000033793.12,protein_coding,Atp6v1h
ENSMUSG00000025905.13,protein_coding,Oprk1
ENSMUSG00000033774.4,protein_coding,Npbwr1
ENSMUSG00000025907.14,protein_coding,Rb1cc1
ENSMUSG00000090031.2,antisense,4732440D04Rik
ENSMUSG00000087247.3,protein_coding,Fam150a
ENSMUSG00000103845.1,processed_pseudogene,Gm19026
ENSMUSG00000033740.17,protein_coding,St18
ENSMUSG00000104385.1,processed_pseudogene,Gm7449
ENSMUSG00000102135.1,processed_pseudogene,Gm37108
ENSMUSG00000051285.17,protein_coding,Pcmtd1
ENSMUSG00000103509.1,TEC,Gm38372
ENSMUSG00000097797.6,lincRNA,Gm26901
ENSMUSG00000103067.1,lincRNA,Gm30414
ENSMUSG00000025909.16,protein_coding,Sntg1
ENSMUSG00000102647.1,TEC,Gm38024
ENSMUSG00000102253.1,TEC,Gm38259
ENSMUSG00000103884.1,TEC,Gm37005
ENSMUSG00000102316.1,TEC,Gm37629
ENSMUSG00000103411.1,processed_pseudogene,Gm18300
ENSMUSG00000061024.8,protein_coding,Rrs1
ENSMUSG00000025911.14,protein_coding,Adhfe1
ENSMUSG00000079671.8,processed_transcript,2610203C22Rik
ENSMUSG00000067879.3,protein_coding,3110035E14Rik
ENSMUSG00000025912.16,protein_coding,Mybl1
ENSMUSG00000045210.8,protein_coding,Vcpip1
ENSMUSG00000097893.8,antisense,1700034P13Rik
ENSMUSG00000025915.14,protein_coding,Sgk3
ENSMUSG00000046101.16,protein_coding,Mcmdc2
ENSMUSG00000098234.7,lincRNA,Snhg6
ENSMUSG00000099032.2,protein_coding,Tcf24
ENSMUSG00000025916.10,protein_coding,Ppp1r42
